Name,Lat,Lon,Url
CAN_AB_Killam.AGDM.712280_CWEC2016.zip,52.847,111.872,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Killam.AGDM.712280_CWEC2016.zip
CAN_AB_Spirit.River.715710_CWEC2016.zip,55.695,119.23,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Spirit.River.715710_CWEC2016.zip
DZA_BT_Batna.AP.604680_TMYx.zip,35.752,6.309,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BT_Batna/DZA_BT_Batna.AP.604680_TMYx.zip
CAN_AB_Camrose.712540_CWEC2016.zip,53.035,112.814,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Camrose.712540_CWEC2016.zip
DZA_CH_Chlef.Intl.AP.604250_TMYx.2003-2017.zip,36.213,1.332,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/CH_Chlef/DZA_CH_Chlef.Intl.AP.604250_TMYx.2003-2017.zip
CAN_AB_Lac.La.Biche.AP.713160_CWEC2016.zip,54.769,112.024,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lac.La.Biche.AP.713160_CWEC2016.zip
DZA_CH_Chlef.Intl.AP.604250_TMYx.zip,36.213,1.332,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/CH_Chlef/DZA_CH_Chlef.Intl.AP.604250_TMYx.zip
CAN_AB_St.Paul.AgCM.712750_CWEC2016.zip,54.011,111.272,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_St.Paul.AgCM.712750_CWEC2016.zip
DZA_CO_Constantine-Boudiaf.Intl.AP.604190_TMYx.2003-2017.zip,36.276,6.62,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/CO_Constantine/DZA_CO_Constantine-Boudiaf.Intl.AP.604190_TMYx.2003-2017.zip
CAN_AB_Cardston.711530_CWEC2016.zip,49.201,113.286,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cardston.711530_CWEC2016.zip
DZA_CO_Constantine-Boudiaf.Intl.AP.604190_TMYx.zip,36.276,6.62,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/CO_Constantine/DZA_CO_Constantine-Boudiaf.Intl.AP.604190_TMYx.zip
CAN_AB_Lacombe.712420_CWEC2016.zip,52.449,113.756,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lacombe.712420_CWEC2016.zip
